English,Indonesia
love,Cinta
watch,jam tangan
arm,lengan
anything,apa pun
I'll,saya akan
though,meskipun
put,meletakkan
left,kiri
work,bekerja
guy,pria
hair,rambut
next,Berikutnya
couldn't,tidak bisa
yeah,Ya
while,ketika
mean,berarti
home,rumah
few,sedikit
saw,gergaji
place,tempat
school,sekolah
help,membantu
wait,Tunggu
late,terlambat
year,tahun
can't,tidak bisa
house,rumah
happen,terjadi
last,terakhir
always,selalu
move,bergerak
old,tua
night,malam
nod,anggukan
life,kehidupan
give,memberi
sit,duduk
stare,menatap
sat,duduk
should,sebaiknya
moment,momen
another,lain
behind,di belakang
side,samping
sound,suara
once,sekali
find,menemukan
toward,ke arah
boy,anak laki-laki
ever,pernah
nothing,Tidak ada apa-apa
front,depan
mother,ibu
name,nama
am,saya
since,sejak
reply,membalas
he's,Dia
myself,saya sendiri
leave,meninggalkan
bed,tempat tidur
new,baru
car,mobil
use,menggunakan
mind,pikiran
maybe,Mungkin
has,memiliki
heard,mendengar
answer,menjawab
minute,menit
yes,Ya
until,sampai
both,keduanya
found,ditemukan
end,akhir
small,kecil
I'd,Pengenal
word,kata
someone,seseorang
same,sama
enough,cukup
began,dimulai
run,berlari
bit,sedikit
sigh,mendesah
each,setiap
those,itu
almost,hampir
against,melawan
everything,semuanya
most,paling
thank,terima kasih
wouldn't,tidak
mom,Mama
better,lebih baik
play,bermain
I've,Saya
own,memiliki
every,setiap
hard,keras
remember,Ingat
three,tiga
stood,berdiri
live,hidup
stand,berdiri
second,Kedua
sorry,Maaf
keep,menyimpan
finally,Akhirnya
point,titik
gave,telah memberi
already,sudah
actually,Sebenarnya
probably,mungkin
himself,diri
big,besar
everyone,setiap orang
guess,tebakan
lot,banyak
step,melangkah
hey,Hai
hear,mendengar
light,lampu
quickly,dengan cepat
dad,ayah
kiss,ciuman
black,hitam
pick,memilih
else,kalau tidak
soon,segera
shoulder,bahu
table,meja
